district_id,district_short,state,job_title,population,percent_aa,percent_latino,percent_obama,primary_election_date,general_election_date,next_filing_date,election_result,notes
AL - 37th Circuit,37th Circuit,AL,District Attorney,140247,23.70,3.90,39.20,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 38th Circuit,38th Circuit,AL,District Attorney,53227,3.60,2.90,28.20,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 39th Circuit,39th Circuit,AL,District Attorney,90787,13.50,5.80,27.70,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 3rd Circuit,3rd Circuit,AL,District Attorney,37651,54.00,5.40,59.20,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 40th Circuit,40th Circuit,AL,District Attorney,25471,14.50,3.40,33.20,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 41st Circuit,41st Circuit,AL,District Attorney,57322,1.80,8.70,12.30,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 4th Circuit,4th Circuit,AL,District Attorney,100325,56.00,1.30,62.50,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 5th Circuit,5th Circuit,AL,District Attorney,117025,39.00,2.10,54.30,2016-03-01,2016-11-08,2015-11-06,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,
AL - 6th Circuit,6th Circuit,AL,District Attorney,202212,31.00,3.30,40.80,2016-03-01,2016-11-08,2015-11-06,,percent_obama_2012 changed 40.7 to  40.8
AL - 7th Circuit,7th Circuit,AL,District Attorney,130996,18.80,3.30,31.30,2016-03-01,2016-11-08,2015-11-06,,
