State,District,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes
AL,2nd Circuit,"Butler, Crenshaw, Lowndes",44853,44.6,1.4,51.9,District Attorney,Charlotte Tesmer,2012,appt.,,D,C,F,running,"William Morgan Rayborn, Jr. ",C,M,,,,,,,A,2016,appt,,http://www.greenvilleadvocate.com/2015/11/17/mclendon-endorses-tesmer-for-da/
AL,30th Circuit,St. Clair,83593,9.5,2.3,16.5,District Attorney,Richard Minor,2005,2010,U,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,31st Circuit,colbert,54428,16.3,2.6,39.1,District Attorney,"Bryce U. Graham, Jr. ",,2010,U,D,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,32nd Circuit,Cullman,80406,1.4,4.4,14.6,District Attorney,Wilson Blaylock,,2010,U,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,33rd Circuit,"Dale, Geneva",77041,16.2,5.2,24.5,District Attorney,Kirke Adams,2005,2010,U,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,34th Circuit,Franklin,31704,4.6,16.1,29.1,District Attorney,Joseph Rushing III,,2010,U,D,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,35th Circuit,"Conecuh, Monroe",36296,43,1.2,47.8,District Attorney,Steve Wadlington,2012,appt,,D,C,M,running,,,,,,,,,,A,2016,,,
AL,36th Circuit,Lawrence,34339,11.4,2.2,35.8,District Attorney,Errek Jett,2012,appt,,R,C,M,running,,,,,,,,,,N,2016,,,
AL,37th Circuit,Lee,140247,23.7,3.9,39.2,District Attorney,Robert Trees,2011,2010,61.9,R,C,M,running,Brandon Hughes,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
AL,38th Circuit,Jackson,53227,3.6,2.9,28.2,District Attorney,Charles Rhodes,,2010,U,D,C,M,not running,Jason R. Pierce ,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,
