,fips_code,county_name,district,state,State_Abbreviation,State_Code,FIPS_code,Full_County_Name,H1,County_Name,FIPS,_merge,
3206,,,,,PR,72,81,Lares Municipio,H1,Lares Municipi,72081,right_only,
3207,,,,,PR,72,83,Las Marias Municipio,H1,Las Marias Municipi,72083,right_only,
3208,,,,,PR,72,85,Las Piedras Municipio,H1,Las Piedras Municipi,72085,right_only,
3209,,,,,PR,72,87,Loiza Municipio,H1,Loiza Municipi,72087,right_only,
3210,,,,,PR,72,89,Luquillo Municipio,H1,Luquillo Municipi,72089,right_only,
3211,,,,,PR,72,91,Manati Municipio,H1,Manati Municipi,72091,right_only,
3212,,,,,PR,72,93,Maricao Municipio,H1,Maricao Municipi,72093,right_only,
3213,,,,,PR,72,95,Maunabo Municipio,H1,Maunabo Municipi,72095,right_only,
3214,,,,,PR,72,99,Moca Municipio,H1,Moca Municipi,72099,right_only,
3215,,,,,PR,72,101,Morovis Municipio,H1,Morovis Municipi,72101,right_only,
3216,,,,,PR,72,103,Naguabo Municipio,H1,Naguabo Municipi,72103,right_only,
3217,,,,,PR,72,105,Naranjito Municipio,H1,Naranjito Municipi,72105,right_only,
3218,,,,,PR,72,107,Orocovis Municipio,H1,Orocovis Municipi,72107,right_only,
3219,,,,,PR,72,109,Patillas Municipio,H1,Patillas Municipi,72109,right_only,
3220,,,,,PR,72,111,Penuelas Municipio,H1,Penuelas Municipi,72111,right_only,
3221,,,,,PR,72,115,Quebradillas Municipio,H1,Quebradillas Municipi,72115,right_only,
3222,,,,,PR,72,117,Rincon Municipio,H1,Rincon Municipi,72117,right_only,
3223,,,,,PR,72,119,Rio Grande Municipio,H1,Rio Grande Municipi,72119,right_only,
3224,,,,,PR,72,121,Sabana Grande Municipio,H1,Sabana Grande Municipi,72121,right_only,
3225,,,,,PR,72,123,Salinas Municipio,H1,Salinas Municipi,72123,right_only,
3226,,,,,PR,72,125,San German Municipio,H1,San German Municipi,72125,right_only,
3227,,,,,PR,72,129,San Lorenzo Municipio,H1,San Lorenzo Municipi,72129,right_only,
3228,,,,,PR,72,131,San Sebastian Municipio,H1,San Sebastian Municipi,72131,right_only,
3229,,,,,PR,72,133,Santa Isabel Municipio,H1,Santa Isabel Municipi,72133,right_only,
3230,,,,,PR,72,135,Toa Alta Municipio,H1,Toa Alta Municipi,72135,right_only,
