,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
17th Circuit,"Greene,Marengo, Sumter",43835,64.1,1.7,67.3,District Attorney,Gregory Griggers,2004,2010,U,D,C,M,running,,,,Barrown Lankster ,AA,M,,,,O,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://greenecountydemocrat.com/?p=15516,,,,,,,,,,,,
18th Circuit,Shelby,195085,12.1,6,21.6,District Attorney,Jill Lee,2014,appt,,R,C,F,running,,,,,,,,,,N,2016,,,,,,,,,,,,,,,
19th Circuit,"Autauga, Chilton, Elmore",168417,18.9,4.1,24.3,District Attorney,Randall Houston,2001,2010,U,R,C,M,running,Casey Nicole Biggs,C,F,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
20th Circuit,"Henry, Houston",17302,27.3,2.6,30.5,District Attorney,Douglas Valeska,1987,2010,59.2,R,C,M,not running,Patrick Burrus,C,M,,,,,,,T,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://www.dothaneagle.com/news/politics/six-dothan-precincts-critical-in-local-district-attorney-race/article_46189cbe-e0a1-11e5-806f-b3d3eb9cfc00.html,,,,,,,,,,,,
,,,,,,,,,,,,,,,Gary Maxwell,C,M,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Arthur Medley,C,M,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"William Matthews, Jr",C,M,,,,,,,,,,,,,,,,,,,,,,,
21st Circuit,Escambia,38319,32.4,2.1,36.9,District Attorney,Stephen Billy,1995,2010,U,D,C,M,running,,,,,,,,,,A,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
22nd Circuit,Covington,37765,13,1.6,20.5,District Attorney,Walt Merrill,2011,2010,63.5,R,C,M,running,,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,
23rd Circuit,Madison,334811,24.6,4.7,39.9,District Attorney,Robert Broussard,2009,2010,U,R,C,M,running,,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,DA sought death penalty without solid evidence. http://lists.washlaw.edu/pipermail/deathpenalty/2014-August.txt,,,,,,,,,,,,
24th Circuit,"fayette, Lamar, Pickens",51511,22.6,2.4,32,District Attorney,Christopher McCool,2001,2010,U,D,C,M,running,,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
25th Circuit,"Marion, Winston",55259,2.8,2.7,16.1,District Attorney,John Bostick,,2010,U,D,C,M,running,Scott Slatton,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
26th Circuit,Russell,52947,42.9,5,55.5,District Attorney,Kenneth E Davis,1983,2010,U,D,C,M,running,,,,Jamie Graham,C,M,,,,A,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
27th Circuit,Marshall,93019,2.7,12.9,19.3,District Attorney,Stephen Marshall,2001,2010,U,D,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
28th Circuit,Baldin,182265,9.6,4.6,21.6,District Attorney,Hallie Dixon,2011,2010,U,R,C,F,not running,Robert Wilters,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,http://blog.al.com/live/2013/06/fired_employee_sues_baldwin_di.html,,,,,,,,,,,,
29th Circuit,Talledega,82291,32.5,2.3,41.6,District Attorney,Steven Giddens,1998,2010,U,D,C,M,running,,,,,,,,,,A,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
30th Circuit,St. Clair,83593,9.5,2.3,16.5,District Attorney,Richard Minor,2005,2010,U,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
31st Circuit,colbert,54428,16.3,2.6,39.1,District Attorney,"Bryce U. Graham, Jr. ",,2010,U,D,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
32nd Circuit,Cullman,80406,1.4,4.4,14.6,District Attorney,Wilson Blaylock,,2010,U,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
33rd Circuit,"Dale, Geneva",77041,16.2,5.2,24.5,District Attorney,Kirke Adams,2005,2010,U,R,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
34th Circuit,Franklin,31704,4.6,16.1,29.1,District Attorney,Joseph Rushing III,,2010,U,D,C,M,running,,,,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
35th Circuit,"Conecuh, Monroe",36296,43,1.2,47.8,District Attorney,Steve Wadlington,2012,appt,,D,C,M,running,,,,,,,,,,A,2016,,,,,,,,,,,,,,,
36th Circuit,Lawrence,34339,11.4,2.2,35.8,District Attorney,Errek Jett,2012,appt,,R,C,M,running,,,,,,,,,,N,2016,,,,,,,,,,,,,,,
37th Circuit,Lee,140247,23.7,3.9,39.2,District Attorney,Robert Trees,2011,2010,61.9,R,C,M,running,Brandon Hughes,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
38th circuit,Jackson,53227,3.6,2.9,28.2,District Attorney,Charles Rhodes,,2010,U,D,C,M,not running,Jason R. Pierce ,C,M,,,,,,,N,2016,http://www.alabamavotes.gov/ElectionInfo/ElectionInfo2010.aspx?a=voters,,,,,,,,,,,,,,
