,fips_code,county_name,district,state,GEO_display-label,id,first_name,last_name,gender,race,party,is_incumbent,is_running,is_appointed,won_primary,first_year_elected,last_year_elected,percent_vote,next_election,wa,ba,ia,aa,na,hispanic,tot_tom,tot_persons_color,total_pop,perc_persons_color,majority-minority
2682,48409,San Patricio,TX - 36th Judicial District,TX,"San Patricio County, Texas",7865,Michael,Welborn,Male,White,26,Yes,No,Yes,,,,,2016,26619.0,1106.0,219.0,654.0,56.0,37726.0,977.0,40738.0,67357,0.604807221224,minority
2684,48413,Schleicher,TX - 51st Judicial District,TX,"Schleicher County, Texas",6889,Allison,Palmer,Female,White,26,Yes,Yes,No,Yes,,2012,,2016,1437.0,51.0,2.0,6.0,0.0,1660.0,55.0,1774.0,3211,0.552475864217,minority
2695,48435,Sutton,TX - 112th Judicial District,TX,"Sutton County, Texas",7123,Laurie K.,English,Female,White,26,Yes,Yes,No,Yes,,2012,,2016,1474.0,18.0,7.0,13.0,0.0,2364.0,37.0,2439.0,3913,0.623306925633,minority
2696,48437,Swisher,TX - Swisher,TX,"Swisher County, Texas",7157,Wally,Hatch,Male,White,26,Yes,Yes,No,U,,2012,,2016,3626.0,578.0,45.0,10.0,4.0,3166.0,104.0,3907.0,7533,0.518651267755,minority
2697,48439,Tarrant,TX - Tarrant,TX,"Tarrant County, Texas",7158,Sharen,Wilson,Female,White,26,Yes,Not Sure,No,,,2014,,2018,962924.0,309365.0,7467.0,104224.0,3654.0,548382.0,46482.0,1019574.0,1982498,0.514287530177,minority
2700,48445,Terry,TX - Terry,TX,"Terry County, Texas",7165,Kitha Jo'Shae,Fergurson-Worley,Female,White,26,Yes,Yes,Not Sure,U,,2012,,2016,5143.0,557.0,41.0,50.0,2.0,6785.0,161.0,7596.0,12739,0.59627914279,minority
2702,48449,Titus,TX - 76th Judicial District,TX,"Titus County, Texas",6877,Charles,Bailey,Male,White,26,Yes,Yes,No,Yes,1986,2012,,2016,15012.0,3119.0,135.0,288.0,15.0,13588.0,466.0,17611.0,32623,0.539833859547,minority
2704,48453,Travis,TX - 53rd Judicial District,TX,"Travis County, Texas",7171,Rosemary,Lehmberg,Female,White,10,Yes,No,No,,,2012,,2016,582299.0,94606.0,2957.0,75847.0,745.0,391104.0,29000.0,594259.0,1176558,0.505082622361,minority
2708,48461,Upton,TX - 112th Judicial District,TX,"Upton County, Texas",7123,Laurie K.,English,Female,White,26,Yes,Yes,No,Yes,,2012,,2016,1560.0,60.0,34.0,12.0,0.0,1923.0,62.0,2091.0,3651,0.572719802794,minority
2709,48463,Uvalde,TX - 38th Judicial District,TX,"Uvalde County, Texas",7124,Danny,Kindred,Male,White,26,Yes,Yes,No,Yes,,2012,,2016,7399.0,185.0,70.0,152.0,5.0,19166.0,268.0,19846.0,27245,0.728427234355,minority
2712,48469,Victoria,TX - Victoria,TX,"Victoria County, Texas",7185,Steve,Tyler,Male,White,26,Yes,Not Sure,No,,,2014,,2018,42342.0,5557.0,249.0,1179.0,20.0,41701.0,1334.0,50040.0,92382,0.541663960512,minority
2714,48473,Waller,TX - Waller,TX,"Waller County, Texas",7187,Elton Raymond,"Matthis, Jr",Male,White,26,Yes,Not Sure,No,,,2014,,2018,20810.0,12325.0,175.0,409.0,9.0,14232.0,696.0,27846.0,48656,0.572303518579,minority
2715,48475,Ward,TX - 143rd Judicial District,TX,"Ward County, Texas",7060,Randall,Reynolds,Male,White,10,Yes,Yes,No,Yes,,2012,,2016,4798.0,485.0,70.0,63.0,3.0,6087.0,215.0,6923.0,11721,0.590649262008,minority
2718,48481,Wharton,TX - 329th Judicial District,TX,"Wharton County, Texas",7191,Ross,Kurtz,Male,White,26,Yes,Yes,No,Yes,,2012,,2016,18791.0,5388.0,88.0,191.0,10.0,16617.0,401.0,22695.0,41486,0.547052017548,minority
2722,48489,Willacy,TX - Willacy,TX,"Willacy County, Texas",7195,Bernard,Ammerman,Male,White,10,Yes,Yes,No,No,,2012,,2016,2056.0,408.0,37.0,137.0,1.0,19153.0,111.0,19847.0,21903,0.906131580149,minority
2728,48501,Yoakum,TX - Yoakum,TX,"Yoakum County, Texas",7206,Bill,Helwig,Male,White,26,Yes,Not Sure,No,,,2014,,2018,2868.0,82.0,34.0,44.0,1.0,5423.0,94.0,5678.0,8546,0.664404399719,minority
2750,49037,San Juan,UT - San Juan,UT,"San Juan County, Utah",7228,Kendall,Laws,Male,White,10,Yes,Not Sure,No,,,2014,,2018,7219.0,63.0,7180.0,113.0,21.0,812.0,364.0,8553.0,15772,0.542290134415,minority
2814,51081,Greensville,VA - Emporia City - Greensville County,VA,"Greensville County, Virginia",7288,Patricia Taylor,Watson,Female,White,19,Yes,Not Sure,No,,,2015,,2019,4417.0,7006.0,32.0,84.0,1.0,225.0,120.0,7468.0,11885,0.628355069415,minority
2847,51153,Prince William,VA - Manassas - Manassas Park - Prince William,VA,"Prince William County, Virginia",7321,Paul,Ebert,Male,White,10,Yes,Not Sure,No,,1968,2015,,2019,202469.0,91957.0,1055.0,38484.0,581.0,97257.0,19918.0,249252.0,451721,0.551783069638,minority
2871,51595,Emporia City,VA - Emporia City - Greensville County,VA,"Emporia city, Virginia",7288,Patricia Taylor,Watson,Female,White,19,Yes,Not Sure,No,,,2015,,2019,1568.0,3444.0,8.0,71.0,5.0,320.0,80.0,3928.0,5496,0.714701601164,minority
2874,51620,Franklin City,VA - Franklin City - Southampton County,VA,"Franklin city, Virginia",7294,E.A.,Cooke,Male,White,10,Yes,Not Sure,No,,,2015,,2019,3244.0,4810.0,28.0,76.0,4.0,149.0,179.0,5246.0,8490,0.617903415783,minority
2877,51683,Manassas,VA - Manassas - Manassas Park - Prince William,VA,"Manassas city, Virginia",7321,Paul,Ebert,Male,White,10,Yes,Not Sure,No,,1968,2015,,2019,17884.0,5578.0,123.0,2522.0,47.0,14088.0,1522.0,23880.0,41764,0.571784311848,minority
2878,51685,Manassas Park,VA - Manassas - Manassas Park - Prince William,VA,"Manassas Park city, Virginia",7321,Paul,Ebert,Male,White,10,Yes,Not Sure,No,,1968,2015,,2019,5749.0,2060.0,40.0,1590.0,25.0,5670.0,592.0,9977.0,15726,0.634427063462,minority
