,GEO_display-label
187766,"garza county, texas"
187982,"goliad county, texas"
188558,"hall county, texas"
188630,"hamilton county, texas"
188774,"hardeman county, texas"
189062,"hartley county, texas"
189278,"hemphill county, texas"
189566,"hockley county, texas"
189710,"hopkins county, texas"
189854,"howard county, texas"
189926,"hudspeth county, texas"
190070,"hutchinson county, texas"
190142,"irion county, texas"
190430,"jeff davis county, texas"
190574,"jim hogg county, texas"
190646,"jim wells county, texas"
190862,"karnes county, texas"
191006,"kendall county, texas"
191150,"kent county, texas"
191222,"kerr county, texas"
191366,"king county, texas"
191510,"kleberg county, texas"
191582,"knox county, texas"
191870,"la salle county, texas"
192302,"lipscomb county, texas"
192446,"llano county, texas"
192662,"lynn county, texas"
192734,"mcculloch county, texas"
192878,"mcmullen county, texas"
193094,"martin county, texas"
193310,"maverick county, texas"
193454,"menard county, texas"
193670,"mills county, texas"
193742,"mitchell county, texas"
193814,"montague county, texas"
193958,"moore county, texas"
194102,"motley county, texas"
194390,"nolan county, texas"
194966,"parmer county, texas"
195038,"pecos county, texas"
195182,"potter county, texas"
195254,"presidio county, texas"
195470,"reagan county, texas"
195542,"real county, texas"
195686,"reeves county, texas"
195758,"refugio county, texas"
195830,"roberts county, texas"
196046,"runnels county, texas"
196262,"san augustine county, texas"
196406,"san patricio county, texas"
196478,"san saba county, texas"
196550,"schleicher county, texas"
196622,"scurry county, texas"
196694,"shackelford county, texas"
196766,"shelby county, texas"
196838,"sherman county, texas"
196982,"somervell county, texas"
197054,"starr county, texas"
197198,"sterling county, texas"
197270,"stonewall county, texas"
197342,"sutton county, texas"
197630,"terrell county, texas"
197774,"throckmorton county, texas"
197846,"titus county, texas"
197918,"tom green county, texas"
198278,"upton county, texas"
198350,"uvalde county, texas"
198422,"val verde county, texas"
198782,"ward county, texas"
198854,"washington county, texas"
199070,"wheeler county, texas"
199214,"wilbarger county, texas"
199430,"wilson county, texas"
199574,"wise county, texas"
199790,"young county, texas"
199862,"zapata county, texas"
199934,"zavala county, texas"
202958,"windham county, vermont"
203030,"windsor county, vermont"
203246,"alleghany county, virginia"
206414,"james city county, virginia"
209870,"york county, virginia"
210590,"fairfax city, virginia"
210878,"galax city, virginia"
211310,"manassas city, virginia"
211382,"manassas park city, virginia"
220958,"grant county, wisconsin"
221174,"iowa county, wisconsin"
221534,"kenosha county, wisconsin"
222110,"marinette county, wisconsin"
222254,"menominee county, wisconsin"
223622,"shawano county, wisconsin"
224054,"walworth county, wisconsin"
224198,"washington county, wisconsin"
224414,"waushara county, wisconsin"
224486,"winnebago county, wisconsin"
225062,"fremont county, wyoming"
